Edificio16;Mes;Año;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa
SIMA - IQUITOS S.R.LTDA.;ene;2023;5972,7213;37990,8711;33709,0572;0,327322;55320,95;9585;MT3  
SIMA - IQUITOS S.R.LTDA.;feb;2023;6736,3569;43418,1384;39054,5064;0,357226;53524,01;26533,5;MT3  
SIMA - IQUITOS S.R.LTDA.;mar;2023;6463,6299;40718,1411;33981,7842;0,336052;61019,94;33162,5;MT3  
SIMA - IQUITOS S.R.LTDA.;abr;2023;6218,1756;41481,7767;36299,9637;0,341175;69561,72;37041,5;MT3  
SIMA - IQUITOS S.R.LTDA.;may;2023;4799,9952;34363,602;35154,5103;0,309216;45703,13;26421,5;MT3  
SIMA - IQUITOS S.R.LTDA.;jun;2023;6389,9936;43069,0478;36286,3274;0,386785;51016,81;29732,5;MT3  
SIMA - IQUITOS S.R.LTDA.;jul;2023;7532,2834;41239,8679;36199,9274;0,382235;51509,95;2174;MT3  
SIMA - IQUITOS S.R.LTDA.;ago;2023;9419,0906;45901,8632;41251,5133;0,253808;46461,06;24330,5;MT3  
SIMA - IQUITOS S.R.LTDA.;set;2023;8204,9645;45319,0456;39611,1695;0,281296;50161,29;25449;MT3  
SIMA - IQUITOS S.R.LTDA.;oct;2023;9646,354;51373,585;42008,1398;0,316833;50106,55;24798,5;MT3  
SIMA - IQUITOS S.R.LTDA.;nov;2023;14449,0492;55112,6722;45919,045;0,344266;51314,4;29397;MT3  
SIMA - IQUITOS S.R.LTDA.;dic;2023;6464,5299;39238,5971;35996,364;0,245799;41732,5;25308,5;MT3  
SIMA - IQUITOS S.R.LTDA.;ene;2024;6852,7568;44164,0467;37890,8621;0,256854;48291,58;25535;MT3  
SIMA - IQUITOS S.R.LTDA.;feb;2024;7829,9922;43679,9563;39946,3237;0,276883;53295,98;29273,5;MT3  
SIMA - IQUITOS S.R.LTDA.;mar;2024;7401,7835;39059,2791;34407,102;0,253489;56084,43;29406,5;MT3  
SIMA - IQUITOS S.R.LTDA.;abr;2024;7271,8564;42889,4298;36321,0182;0,262809;65154,48;32873;MT3  
SIMA - IQUITOS S.R.LTDA.;may;2024;8527,546;41579,0039;34780,7652;0,26142;46636,31;22607,5;MT3  
SIMA - IQUITOS S.R.LTDA.;jun;2024;9176,1726;42138,2306;34256,3385;0,237913;53999,95;28238;MT3  
SIMA - IQUITOS S.R.LTDA.;jul;2024;7516,0561;34216,4385;34318,1384;0,215173;63872,66;24871;MT3  
SIMA - IQUITOS S.R.LTDA.;ago;2024;9302,0634;38989,5156;37657,9805;0,25448;49418,13;27859,5;MT3  
SIMA - IQUITOS S.R.LTDA.;set;2024;10770,9438;42525,0393;37011,6448;0,266799;43854,51;25394;MT3  
SIMA - IQUITOS S.R.LTDA.;oct;2024;12098,9606;43985,4651;31973,0953;0,284477;45109,04;25326,5;MT3  
SIMA - IQUITOS S.R.LTDA.;nov;2024;14754,5307;50399,9496;33436,3302;0,282869;51763,58;28857;MT3  
SIMA - IQUITOS S.R.LTDA.;dic;2024;11345,4432;35290,8738;33490,8756;0,265066;54709,04;32458,5;MT3  
SIMA - IQUITOS S.R.LTDA.;ene;2025;12927,2598;41072,6862;33027,2397;0,30795;55363,58;33400;MT3  
SIMA - IQUITOS S.R.LTDA.;feb;2025;17399,9826;46472,6808;35209,0557;0,335337;61963,58;37684,5;MT3  
SIMA - IQUITOS S.R.LTDA.;mar;2025;14236,3494;35181,783;33709,0572;0,250165;65045,39;38034,5;MT3  
SIMA - IQUITOS S.R.LTDA.;abr;2025;12381,8058;31472,6958;34936,3287;0,25789;70063,57;40121,5;MT3  
SIMA - IQUITOS S.R.LTDA.;may;2025;13445,4411;31663,6047;33572,6937;0,231808;60354,48;37280,5;MT3  
SIMA - IQUITOS S.R.LTDA.;jun;2025;16499,9835;35263,6011;37909,053;0,259204;44099,96;26893;MT3  
SIMA - IQUITOS S.R.LTDA.;jul;2025;14645,4399;40063,5963;37336,3263;0,281995;44181,78;28367;MT3  
SIMA - IQUITOS S.R.LTDA.;ago;2025;16936,3467;38427,2343;37690,8714;0,273201;44972,68;32400;MT3  
SIMA - IQUITOS S.R.LTDA.;set;2025;18354,5271;43609,0473;40963,5954;0,308159;50427,22;29210,5;MT3  
SIMA - IQUITOS S.R.LTDA.;oct;2025;22309,0686;42736,3209;35918,1459;0,2793;49663,59;62778,5;MT3  
SIMA - IQUITOS S.R.LTDA.;nov;2025;23890,8852;46172,6811;39545,415;0,315757;54790,85;68715;MT3  
SIMA - IQUITOS S.R.LTDA.;dic;2025;19936,3437;40418,1414;37745,4168;0,274674;48736,32;32464;MT3  
SIMA - IQUITOS S.R.LTDA.;ene;2026;21081,7971;54436,3092;44863,5915;0,354454;75518,11;42931,5;MT3  
