Edificio6;Mes;Año;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa
MALL AVENTURA S.A. ;set;2023;47815,2;213079,92;17175;0,191103;260895,12;170003,5;MT3  
MALL AVENTURA S.A. ;oct;2023;190573,8;736216,68;131354,4;0,612309;926790,48;417936;MT3  
MALL AVENTURA S.A. ;nov;2023;223275;823163,4;156498,6;0,614987;1046438,4;487653;MT3  
MALL AVENTURA S.A. ;dic;2023;225336;783180;148392;0,566358;1008516;444444,5;MT3  
MALL AVENTURA S.A. ;ene;2024;219840;824400;137400;0,555555;1044240;469640,5;MT3  
MALL AVENTURA S.A. ;feb;2024;247320;824400;151140;0,570175;1071720;429247;MT3  
MALL AVENTURA S.A. ;mar;2024;237963,06;792880,44;161307,6;0,523625;1030843,5;414363,5;MT3  
MALL AVENTURA S.A. ;abr;2024;215305,8;793924,68;126902,64;0,528583;1009230,48;402717,5;MT3  
MALL AVENTURA S.A. ;may;2024;237331,02;763092,12;145712,7;0,53506;1000423,14;391584;MT3  
MALL AVENTURA S.A. ;jun;2024;230886,96;759135;160799,22;0,538037;990021,96;447293,5;MT3  
MALL AVENTURA S.A. ;jul;2024;212754,74;725389,56;130868,92;0,539835;938144,3;411610,5;MT3  
MALL AVENTURA S.A. ;ago;2024;235073,08;769559,08;126353,04;0,550914;1004632,16;434184,5;MT3  
MALL AVENTURA S.A. ;set;2024;246229,96;795289,52;143688,34;0,536233;1041519,48;449744,5;MT3  
MALL AVENTURA S.A. ;oct;2024;254235,8;838730,82;154300,2;0,541573;1092966,62;462867,5;MT3  
MALL AVENTURA S.A. ;nov;2024;258582,22;844263,46;157268,04;0,552791;1102845,68;459130;MT3  
MALL AVENTURA S.A. ;dic;2024;243376,62;805022,02;155655,88;0,531651;1048398,64;443176;MT3  
MALL AVENTURA S.A. ;ene;2025;250869,5;839243,78;164119,72;0,563164;1090113,28;455152,5;MT3  
MALL AVENTURA S.A. ;feb;2025;250301,58;808736,4;153686,48;0,528214;1059037,98;449202;MT3  
MALL AVENTURA S.A. ;mar;2025;224456,64;723067,5;130140,7;0,522431;947524,14;417711,5;MT3  
MALL AVENTURA S.A. ;abr;2025;241727,82;790416,4;141306,74;0,595054;1032144,22;434926;MT3  
MALL AVENTURA S.A. ;may;2025;222684,18;771784,96;140317,46;0,548315;994469,14;417076,5;MT3  
MALL AVENTURA S.A. ;jun;2025;244100,26;787732,52;150640,78;0,592621;1031832,78;447344;MT3  
MALL AVENTURA S.A. ;jul;2025;232443,2152;734770,9323;134867,26;0,533288;967214,15;481378,5;MT3  
MALL AVENTURA S.A. ;ago;2025;215649,3;759867,8;140509,82;0,562407;975517,1;477781;MT3  
MALL AVENTURA S.A. ;set;2025;225386,38;799988,6;157712,3;0,565356;1025374,98;495384;MT3  
MALL AVENTURA S.A. ;oct;2025;244127,74;766197,36;157373,38;0,54323;1010325,1;478087,5;MT3  
MALL AVENTURA S.A. ;nov;2025;243129,3;810733,28;165640,28;0,559693;1053862,58;494627,5;MT3  
MALL AVENTURA S.A. ;dic;2025;236328,6446;793972,3263;145698,96;0,543373;1030300,97;484074;MT3  
MALL AVENTURA S.A. ;ene;2026;217114,9;718803,52;152944,52;0,472243;935918,42;461295;MT3  
MALL AVENTURA S.A. ;feb;2026;242497,26;771487,26;159956,5;0,576907;1013984,52;546275,5;MT3  
MALL AVENTURA S.A. ;mar;2026;222349,84;705058,94;140830,42;0,477483;927408,78;434199;MT3  
MALL AVENTURA S.A. ;abr;2026;228212,24;851893,74;165434,18;0,527444;1080105,98;513883;MT3  
MALL AVENTURA S.A. ;may;2026;241549,2;779296,16;166180,72;0,561837;1020845,36;530912,5;MT3  
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
