Edificio11;Mes;Año;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa
HOSPITAL REGIONAL DE LORETO;ene;2023;9638,1722;42021,7762;22794,5227;0,426944;83749,01;80130;MT2  
HOSPITAL REGIONAL DE LORETO;feb;2023;14514,5309;70461,7477;29487,2432;0,773873;85761,74;38196;MT2  
HOSPITAL REGIONAL DE LORETO;mar;2023;13630,8955;63719,9363;25641,7925;0,752898;80279,92;37342;MT2  
HOSPITAL REGIONAL DE LORETO;abr;2023;14776,3489;67107,2056;26656,337;0,837349;83421,73;38904,5;MT2  
HOSPITAL REGIONAL DE LORETO;may;2023;11732,7155;62672,6646;25576,3381;0,743849;75010,83;33159;MT2  
HOSPITAL REGIONAL DE LORETO;jun;2023;14154,5313;63163,5732;27687,245;0,772968;71165,39;30471;MT2  
HOSPITAL REGIONAL DE LORETO;jul;2023;14596,349;67107,2056;28979,971;0,813934;78512,65;31782;MT2  
HOSPITAL REGIONAL DE LORETO;ago;2023;13450,8956;70298,1115;29503,6069;0,857458;71999,92;29034,5;MT2  
HOSPITAL REGIONAL DE LORETO;set;2023;15038,1668;70723,5656;29929,061;0,835725;80427,2;30717;MT2  
HOSPITAL REGIONAL DE LORETO;oct;2023;14825,4397;65454,48;28407,2443;0,724111;69332,66;26421;MT2  
HOSPITAL REGIONAL DE LORETO;nov;2023;15430,8937;67990,8411;30730,8784;0,863482;73358,11;32362;MT2  
HOSPITAL REGIONAL DE LORETO;dic;2023;13843,6225;61167,2116;26869,064;0,73603;71492,65;30090;MT2  
HOSPITAL REGIONAL DE LORETO;ene;2024;12550,8965;58614,4868;25527,2472;0,79582;69299,93;30420,5;MT2  
HOSPITAL REGIONAL DE LORETO;feb;2024;14187,2585;64325,3902;27719,9723;0,838224;72376,29;31568,5;MT2  
HOSPITAL REGIONAL DE LORETO;mar;2024;13352,7139;58647,2141;26525,428;0,68587;56176,31;57758;MT2  
HOSPITAL REGIONAL DE LORETO;abr;2024;12959,987;67467,2053;28505,426;0,837593;75059,93;30949,5;MT2  
HOSPITAL REGIONAL DE LORETO;may;2024;12518,1693;56814,4886;24381,7938;0,852858;79985,38;31936,5;MT2  
HOSPITAL REGIONAL DE LORETO;jun;2024;13385,4412;59972,6673;30681,7875;0,737723;85761,73;34711;MT2  
HOSPITAL REGIONAL DE LORETO;jul;2024;11896,3517;59596,304;26083,6103;0,887142;83274,46;33895,5;MT2  
HOSPITAL REGIONAL DE LORETO;ago;2024;12518,1693;56781,7614;26459,9735;0,681569;72752,66;30710;MT2  
HOSPITAL REGIONAL DE LORETO;set;2024;12959,987;59416,3042;29339,9707;0,684844;102141,72;40053,5;MT2  
HOSPITAL REGIONAL DE LORETO;oct;2024;10079,9899;46096,3175;23579,9764;0,57935;94974,45;36373;MT2  
HOSPITAL REGIONAL DE LORETO;nov;2024;13139,9869;61919,9381;27016,3366;0,844938;87398,1;35707,5;MT2  
HOSPITAL REGIONAL DE LORETO;dic;2024;13990,8951;65994,4795;28865,4257;0,780332;88772,64;41470,5;MT2  
HOSPITAL REGIONAL DE LORETO;ene;2025;14334,5311;71427,2013;30730,8784;0,835725;80607,19;37413;MT2  
HOSPITAL REGIONAL DE LORETO;feb;2025;15021,8032;68252,659;27654,5178;0,873677;80558,1;36977,5;MT2  
HOSPITAL REGIONAL DE LORETO;mar;2025;12550,8965;60201,758;26950,8821;0,616883;76941,74;34699,5;MT2  
HOSPITAL REGIONAL DE LORETO;abr;2025;17721,8005;84419,9156;38209,0527;0,897457;77841,74;34899,5;MT2  
HOSPITAL REGIONAL DE LORETO;may;2025;15807,2569;79167,1936;36049,0549;0,832759;70445,39;31419,5;MT2  
HOSPITAL REGIONAL DE LORETO;jun;2025;14858,167;72539,9275;31058,1508;0,85265;101110,81;335111;MT2  
HOSPITAL REGIONAL DE LORETO;jul;2025;15398,1664;73374,4721;32301,7859;0,786505;82210,83;382914;MT2  
HOSPITAL REGIONAL DE LORETO;ago;2025;13369,0775;67238,1146;26443,6099;0,902594;79363,55;420804;MT2  
HOSPITAL REGIONAL DE LORETO;set;2025;13598,1682;66959,933;26410,8827;0,917785;66190,85;462286;MT2  
HOSPITAL REGIONAL DE LORETO;oct;2025;14023,6223;62918,1189;26263,6101;0,852553;66714,47;504943,5;MT2  
HOSPITAL REGIONAL DE LORETO;nov;2025;13401,8048;64439,9356;29012,6983;0,825867;76663,56;551768;MT2  
HOSPITAL REGIONAL DE LORETO;dic;2025;11732,7155;58712,6686;25772,7015;0,869064;78758,1;599575,5;MT2  
HOSPITAL REGIONAL DE LORETO;ene;2026;11045,4435;55489,0354;25658,1562;0,746986;66534,48;30418;MT2  
