Edificio17;Mes;Año;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa
ASOCIACION CIVIL SELVA AMAZONICA;ene;2023;4953,6;25250;116,8;0,429106;33377,2;23477,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;feb;2023;5081,6;24927,2;125,6;0,479508;29707,2;21574;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;mar;2023;4658;21783,2;105,2;0,477429;28871,2;20953;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;abr;2023;5417,2;25406,8;147,6;0,486489;33467,2;23151;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;may;2023;4688,8;24196,8;103,6;0,433249;32730;24369,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;jun;2023;5452,4;27367,6;224;0,452754;30203,6;24803,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;jul;2023;4866;24670,8;150,8;0,447267;30008,8;24237,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;ago;2023;5365,2;28902,8;292,4;0,492492;26441,2;22532,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;set;2023;5923,6;30440,4;416,4;0,469731;30824;24453,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;oct;2023;6201,6;31786,4;590,8;0,477908;28885,6;22971,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;nov;2023;6444,4;33097,6;514,8;0,497819;32820;23574,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;dic;2023;6157,6;31992,8;419,2;0,493725;29536,8;21343;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;ene;2024;5441,6;29692;258,4;0,48066;34268;23412;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;feb;2024;5539,6;29030,8;251,6;0,481492;36364;23475,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;mar;2024;5782,8;28244,4;292;0,444674;37988;24860;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;abr;2024;5404,4;30030,8;184;0,456037;39542;26182,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;may;2024;5862,4;28829,2;359,2;0,487088;38150,4;24715,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;jun;2024;5665,2;28271,596;310,8;0,495109;35133,6;25637;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;jul;2024;5041,2;26569,204;249,6;0,490211;34570,4;24106,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;ago;2024;5346,4;26926;343,2;0,513081;34027,2;22341;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;set;2024;5674,8;28266;413,2;0,45696;35435,2;22504,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;oct;2024;5974;30601,2;692,4;0,483614;34691,6;21638,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;nov;2024;6000;31404;747,2;0,468693;33936,8;23473,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;dic;2024;5650,4;28597,2;445,6;0,462345;31610,4;21970,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;ene;2025;5219,2;26508;285,6;0,454659;32272,4;22307,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;feb;2025;5904,8;28893,2;318;0,471793;33940,8;23587,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;mar;2025;4922,8;24244;166,8;0,465198;36575,2;24007,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;abr;2025;5574,8;27386,8;169,6;0,481489;37404;24112;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;may;2025;5242;27973,2;268,4;0,506057;34247,6;22743,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;jun;2025;5186,4;26668;183,6;0,510173;31727,2;22084,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;jul;2025;4685,2;23291,2;95,2;0,492847;34798;23159,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;ago;2025;4562,8;23586,8;80,4;0,505386;29166,8;21178,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;set;2025;5144;25688,4;157,2;0,433604;32961,6;22123,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;oct;2025;5342,8;25849,2;206;0,474816;33215,2;21724,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;nov;2025;5049,2;26077,6;280;0,465858;31854,4;21622;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;dic;2025;5294,4;26184;399,6;0,474392;27976,4;21688,5;BT2  
ASOCIACION CIVIL SELVA AMAZONICA;ene;2026;5017,6;28359,6;440,8;0,485314;28149,6;21006,5;BT2  
