Edificio 5;Mes;Año;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa
HOTEL PLAZA S.A.;ene;2023;13452,7138;60630,8485;47738,1341;0,564787;74083,56;42885,5;MT3  
HOTEL PLAZA S.A.;feb;2023;13325,4412;59429,0315;47183,5892;0,525296;72754,47;84924,5;MT3  
HOTEL PLAZA S.A.;mar;2023;12845,4417;55836,3078;44474,501;0,491708;68681,75;40573,5;MT3  
HOTEL PLAZA S.A.;abr;2023;14687,258;61407,2113;49647,2231;0,518997;76094,47;43611;MT3  
HOTEL PLAZA S.A.;may;2023;12307,2422;59465,3951;46819,9532;0,513355;71772,64;41405;MT3  
HOTEL PLAZA S.A.;jun;2023;14549,0945;63247,2095;50643,5857;0,508799;77796,3;83240,5;MT3  
HOTEL PLAZA S.A.;jul;2023;11247,2615;55732,6715;44141,774;0,485899;66979,93;34417,5;MT3  
HOTEL PLAZA S.A.;ago;2023;14101,8041;67118,1147;53154,4923;0,555941;81219,91;41649;MT3  
HOTEL PLAZA S.A.;set;2023;15754,5297;68018,1138;54238,1276;0,564312;83772,64;40084,5;MT3  
HOTEL PLAZA S.A.;oct;2023;15341,8028;63629,0273;50945,4036;0,516481;78970,83;79640;MT3  
HOTEL PLAZA S.A.;nov;2023;15947,2568;68409,0043;54865,3997;0,549351;84356,26;42139;MT3  
HOTEL PLAZA S.A.;dic;2023;16221,802;70389,0387;55250,8538;0,563553;86610,84;39802;MT3  
HOTEL PLAZA S.A.;ene;2024;14805,4397;70545,384;56363,58;0,600908;85350,82;39825;MT3  
HOTEL PLAZA S.A.;feb;2024;15141,803;66876,2968;53358,1285;0,652633;82018,1;36687,5;MT3  
HOTEL PLAZA S.A.;mar;2024;15096,3485;63565,391;51156,3125;0,709432;78661,74;32221;MT3  
HOTEL PLAZA S.A.;abr;2024;14458,1674;70481,7477;57081,7611;0,569164;84939,92;35122,5;MT3  
HOTEL PLAZA S.A.;may;2024;14567,2582;62978,1188;51547,2212;0,61321;77545,38;31488;MT3  
HOTEL PLAZA S.A.;jun;2024;14758,1671;65210,8439;52532,6566;0,620807;79969,01;68157;MT3  
HOTEL PLAZA S.A.;jul;2024;13221,805;63343,573;49379,9688;0,601723;76565,38;34296,5;MT3  
HOTEL PLAZA S.A.;ago;2024;13998,1678;59734,4857;47074,4984;0,577086;73732,66;33482;MT3  
HOTEL PLAZA S.A.;set;2024;15403,621;65947,2068;50889,04;0,618338;81350,83;36103,5;MT3  
HOTEL PLAZA S.A.;oct;2024;15489,0754;68012,6593;51894,4936;0,602323;83501,74;36444;MT3  
HOTEL PLAZA S.A.;nov;2024;15712,7116;68414,477;52423,5839;0,581573;84127,19;36555,5;MT3  
HOTEL PLAZA S.A.;dic;2024;14245,4403;63310,8458;47845,4067;0,626925;77556,29;33729;MT3  
HOTEL PLAZA S.A.;ene;2025;13736,3499;61829,0291;47419,9526;0,734397;75565,38;32515,5;MT3  
HOTEL PLAZA S.A.;feb;2025;14379,9856;63485,3911;47961,7702;0,647936;77865,38;33814,5;MT3  
HOTEL PLAZA S.A.;mar;2025;13616,35;56625,3979;43427,2293;0,642598;70241,75;31761;MT3  
HOTEL PLAZA S.A.;abr;2025;15681,8025;67410,8417;53919,9461;0,69522;83092,64;35567;MT3  
HOTEL PLAZA S.A.;may;2025;13434,532;65356,2983;48185,4064;0,611661;78790,83;33586;MT3  
HOTEL PLAZA S.A.;jun;2025;14476,3492;65056,2986;48854,4966;0,666895;79532,65;35079;MT3  
HOTEL PLAZA S.A.;jul;2025;13998,1678;63087,2096;48338,1335;0,572808;77085,38;39396,5;MT3  
HOTEL PLAZA S.A.;ago;2025;14523,6218;68378,1134;52585,402;0,588001;82901,73;41944;MT3  
HOTEL PLAZA S.A.;set;2025;14590,8945;68558,1133;50992,6763;0,52234;83149;42723,5;MT3  
HOTEL PLAZA S.A.;oct;2025;14590,8945;62378,1194;47534,4979;0,546429;76969,01;38706;MT3  
HOTEL PLAZA S.A.;nov;2025;14412,7129;67165,3874;50823,5855;0,618221;81578,1;39848,5;MT3  
HOTEL PLAZA S.A.;dic;2025;13903,6225;66979,933;49972,6773;0,598702;80883,55;39456,5;MT3  
HOTEL PLAZA S.A.;ene;2026;16005,4385;75829,0151;57716,3059;0,56166;91834,46;45337;MT3  
