Edificio8;Mes;Año;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;ene;2023;1582,1817;6307,9085;6661,8176;0,478535;7890,09;4873;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;feb;2023;1269,909;6162,1813;6640,9994;0,372806;7432,09;4465,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;mar;2023;1186,6363;5246,1814;5933,1813;0,373188;6432,82;3992,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;abr;2023;1561,3635;6516,0903;6495,2722;0,399177;8077,45;4774;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;may;2023;1373,9999;5933,1813;6162,1813;0,420258;7307,18;4342,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;jun;2023;1748,7271;7223,9085;6328,7267;0,415701;8972,64;9200;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;jul;2023;1415,6362;5350,2723;6016,454;0,358245;6765,91;3916;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;ago;2023;1540,5453;5995,6358;6245,454;0,497798;7536,19;4266,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;set;2023;1582,1817;6328,7267;6141,3631;0,425627;7910,91;4018,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;oct;2023;1769,5453;7203,0903;6203,8176;0,436942;8972,64;4516,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;nov;2023;1644,6362;7057,363;6099,7267;0,436507;8702;4470,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;dic;2023;1686,2726;6474,454;5933,1813;0,422049;8160,72;4186;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;ene;2024;1353,1817;6099,7267;6141,3631;0,487473;7452,91;3937,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;feb;2024;1436,4544;5912,3631;6141,3631;0,471421;7348,81;3107;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;mar;2024;1478,0908;6058,0904;5579,2722;0,45707;7536,18;3547;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;abr;2024;1478,0908;6640,9994;5849,9086;0,501543;8119,09;3540,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;may;2024;1519,7271;6078,9086;5537,6359;0,501924;7598,64;3359,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;jun;2024;1748,7271;6786,7267;5516,8177;0,470615;8535,46;7568;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;jul;2024;1623,818;6807,5449;5079,6359;0,453629;8431,36;4102,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;ago;2024;1540,5453;6141,3631;5475,1813;0,45354;7681,91;3892;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;set;2024;1373,9999;5579,2722;5641,7268;0,468574;6953,27;3584,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;oct;2024;1519,7271;6328,7267;4600,8178;0,443737;7848,46;3650;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;nov;2024;1936,0907;7619,4539;46903,3595;0,490385;9555,54;6323;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;dic;2024;1915,2726;7765,1811;11250,73927;0,542717;9680,45;3512;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;ene;2025;1727,9089;7161,4539;12066,8969;0,482158;8889,36;3918;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;feb;2025;2123,4544;8035,8175;13002,6225;0,480694;10159,27;8542;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;mar;2025;2456,5452;8806,0901;14134,47772;0,469617;11262,64;5248;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;abr;2025;2685,5452;9347,3628;15371,52007;0,521284;12032,91;5399;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;may;2025;2706,3634;8951,8174;16761,49054;0,4954;11658,18;5197,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;jun;2025;3018,6361;9513,9083;18498,7295;0,48611;12532,55;5895;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;jul;2025;2976,9997;8889,3629;395,5454;0,46027;11866,36;6326;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;ago;2025;2706,3634;9243,2719;5037,9996;0,501397;11949,63;12670;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;set;2025;2852,0907;8743,6356;5433,545;0,432185;11595,73;6450,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;oct;2025;2935,3634;7661,0902;4975,545;0,436384;10596,45;5696,5;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;nov;2025;2976,9997;8785,272;5412,7268;0,506272;11762,27;6038;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;dic;2025;3039,4543;9118,3628;5079,6359;0,458254;12157,81;6257;MT3  
PNP- ESCUELA TECNICA SUPERIOR-IQUITOS;ene;2026;3226,8179;9617,9992;5516,8177;0,489682;12844,82;6613,5;MT3  
