Edificio10;Mes;Año;EnergiaActivaHoraPunta;EnergiaActivaFueraPunta;EnergiaReactiva;FactorCarga;totalEnergiaActiva;TotalFacturado;Tarifa
GOBIERNO REGIONAL DE LORETO;ene;2023;6836,3568;71272,656;18763,6176;0,220987;78109,02;114921,5;MT4  
GOBIERNO REGIONAL DE LORETO;feb;2023;7127,2656;80581,7376;21018,1608;0,268429;87709,01;109779;MT4  
GOBIERNO REGIONAL DE LORETO;mar;2023;7636,356;81963,5544;19854,5256;0,267361;89599,91;57284,5;MT4  
GOBIERNO REGIONAL DE LORETO;abr;2023;8290,9008;96145,3584;23490,8856;0,291159;104436,26;121100;MT4  
GOBIERNO REGIONAL DE LORETO;may;2023;6981,8112;74763,5616;18618,1632;0,226905;81745,37;56942,5;MT4  
GOBIERNO REGIONAL DE LORETO;jun;2023;7854,5376;89890,8192;19781,7984;0,272506;97745,36;61469;MT4  
GOBIERNO REGIONAL DE LORETO;jul;2023;7345,4472;75781,7424;17163,6192;0,264143;83127,19;54191,5;MT4  
GOBIERNO REGIONAL DE LORETO;ago;2023;7636,356;86909,004;17818,164;0,272331;94545,36;55258;MT4  
GOBIERNO REGIONAL DE LORETO;set;2023;8945,4456;107636,256;20436,3432;0,283978;116581,71;117922,5;MT4  
GOBIERNO REGIONAL DE LORETO;oct;2023;9236,3544;107636,256;20145,4344;0,279342;116872,61;65293,5;MT4  
GOBIERNO REGIONAL DE LORETO;nov;2023;9818,172;114036,2496;21090,888;0,295659;123854,42;68615;MT4  
GOBIERNO REGIONAL DE LORETO;dic;2023;9236,3544;105745,3488;19563,6168;0,284803;114981,7;129774,5;MT4  
GOBIERNO REGIONAL DE LORETO;ene;2024;8436,3552;83127,1896;16363,62;0,224757;91563,55;116993,5;MT4  
GOBIERNO REGIONAL DE LORETO;feb;2024;9381,8088;92872,6344;18036,3456;0,270467;102254,44;54926,5;MT4  
GOBIERNO REGIONAL DE LORETO;mar;2024;11027,0435;95722,5952;18092,7819;0,259366;106749,64;53927;MT4  
GOBIERNO REGIONAL DE LORETO;abr;2024;11222,4615;91149,7998;17927,1821;0,257375;102372,26;51901;MT4  
GOBIERNO REGIONAL DE LORETO;may;2024;14965,585;102934,4425;19191,399;0,300008;117900,03;52950,5;MT4  
GOBIERNO REGIONAL DE LORETO;jun;2024;16019,4749;87777,294;15628,9298;0,264615;103796,76;55996,5;MT4  
GOBIERNO REGIONAL DE LORETO;jul;2024;15784,0569;76793,8141;13582,6046;0,246821;92577,87;52314;MT4  
GOBIERNO REGIONAL DE LORETO;ago;2024;17278,8918;78920,8665;14272,7857;0,268432;96199,76;46483;MT4  
GOBIERNO REGIONAL DE LORETO;set;2024;9541,445;92974,5252;15097,9485;0,25733;102515,98;50595;MT4  
GOBIERNO REGIONAL DE LORETO;oct;2024;9029,5182;113698,2863;17695,255;0,291657;122727,81;62709;MT4  
GOBIERNO REGIONAL DE LORETO;nov;2024;10057,8809;112615,0147;16792,7832;0,285453;122672,89;62579;MT4  
GOBIERNO REGIONAL DE LORETO;dic;2024;11148,7889;99923,6092;14985,6577;0,276771;111072,4;58533;MT4  
GOBIERNO REGIONAL DE LORETO;ene;2025;10722,462;79011,9937;11953,2971;0,217803;89734,45;52105,5;MT4  
GOBIERNO REGIONAL DE LORETO;feb;2025;14062,8223;97952,7748;14825,367;0,288145;112015,59;58663,5;MT4  
GOBIERNO REGIONAL DE LORETO;mar;2025;14217,5858;84101,8795;12617,6601;0,265277;98319,47;54621;MT4  
GOBIERNO REGIONAL DE LORETO;abr;2025;13480,932;75383,8519;12673,8782;0,24782;88864,78;50816;MT4  
GOBIERNO REGIONAL DE LORETO;may;2025;10479,3532;73549,981;11506,4612;0,223834;84029,33;50315;MT4  
GOBIERNO REGIONAL DE LORETO;jun;2025;8541,3187;88205,0936;9550,6268;0,282182;96746,41;55190;MT4  
GOBIERNO REGIONAL DE LORETO;jul;2025;7674,3741;84749,1516;8023,0283;0,291259;92423,52;55701;MT4  
GOBIERNO REGIONAL DE LORETO;ago;2025;7838,8831;82210,7178;6846,1022;0,279251;90049,6;55448;MT4  
GOBIERNO REGIONAL DE LORETO;set;2025;8271,2645;91142,4725;8291,9917;0,282487;99413,73;58953,5;MT4  
GOBIERNO REGIONAL DE LORETO;oct;2025;9948,8628;102265,0977;8610,2641;0,292307;112213,96;63673;MT4  
GOBIERNO REGIONAL DE LORETO;nov;2025;9790,3538;100641,4448;7617,5378;0,303729;110431,79;60396;MT4  
GOBIERNO REGIONAL DE LORETO;dic;2025;7534,3561;76416,8509;6748,4114;0,23291;83951,21;50366,5;MT4  
GOBIERNO REGIONAL DE LORETO;ene;2026;10103,9354;98999,1919;8833,3548;0,281925;109103,13;61101;MT4  
